"i","CR","MAE","corr.cor"
60,"5",2.33708825155263,0.79
60,"4&5",3.90850381749012,0.74
61,"2",2.9192119507059,0.67
61,"3",2.64014000538065,0.81
61,"4",3.84549837419484,0.83
61,"5",1.62920959595958,0.77
61,"4&5",3.37849322032629,0.77
62,"3",2.67890340207454,0.81
62,"4",3.76554366494281,0.83
62,"5",2.06434911439078,0.8
62,"4&5",3.50298963790957,0.77
63,"4",4.48845703453535,0.8
63,"5",2.49441433170677,0.79
63,"4&5",3.94295329653598,0.74
